id,filename,path,size,type,isMalicious,original_hash,rebuild_hash,date_created,virus_total_status,gw_rebuild_xml_status,gw_rebuild_file_status
1,file47158.pdf,pdf/e7969907ce62ff7b3962a51a0c2dc926480453b04813c7071f6417d0138ced8c,228437 bytes,pdf,False,e7969907ce62ff7b3962a51a0c2dc926480453b04813c7071f6417d0138ced8c,0c35b2e391496c0e3cd29a361b7c6c1d7bdc40c5c05d6e816c05793ec5e33a0e,2020-11-13 13:11:00.699003,False,True,True
2,Letter_of_Confirmation_as_National_Statistics_-_Assessment_Report_190.pdf,pdf/cd4958d402ee273180412cce9c6192361adecb4115781ab31c0eb03632134108,43285 bytes,pdf,False,cd4958d402ee273180412cce9c6192361adecb4115781ab31c0eb03632134108,30475e589d12f949e0742dacef58e8da9a9732f26495c21ea9ceff958f8629cd,2020-11-13 13:11:02.949434,False,True,True
3,tab-terms-of-reference.pdf,pdf/450e7cbdf7bf47230b6d1b82a76afcfdcfbc3ce3c56568c56158a2aba9c5b6fc,236820 bytes,pdf,False,450e7cbdf7bf47230b6d1b82a76afcfdcfbc3ce3c56568c56158a2aba9c5b6fc,cdd40b48c8942aa5f7b9cc150975f8b2070a6571f05b41e18f5332a1104eb619,2020-11-13 13:11:04.256939,False,True,True
4,tab-code-of-practice.pdf,pdf/458d2ceb57b1bac2866c43e16cc9392b017aa48f0689876df25399d0f7ad198c,164185 bytes,pdf,False,458d2ceb57b1bac2866c43e16cc9392b017aa48f0689876df25399d0f7ad198c,90c50ffa13a95f6d90206da22c858cf54ef2135fc5975b17ae24f33acf19b95b,2020-11-13 13:11:05.622921,False,True,True
5,mdma-report.pdf,pdf/3360e1ca8a6c90e0e054ab5f55cf638ddbbaaece68f709f9648b2a3212ea4c0b,330423 bytes,pdf,False,3360e1ca8a6c90e0e054ab5f55cf638ddbbaaece68f709f9648b2a3212ea4c0b,fcbc4bdc1e0acd3eee46048dc91f6084a18ffce597233f52e3a2e1bc844d4c5e,2020-11-13 13:11:07.133506,False,True,True
6,MODForm5050ExcavationStatementKnownHazards.doc,doc/4d7a8ed88b1d32cf8ad4e115a322c7dbce4bf4d56a432e819fed52047a18f729,398848 bytes,doc,False,4d7a8ed88b1d32cf8ad4e115a322c7dbce4bf4d56a432e819fed52047a18f729,6bf3f3505adbb627131a86d627cc5e05fdae94caef5230dacb62394e9954d374,2020-11-13 13:11:08.550993,False,True,True
7,ocr-faq.doc,doc/b8386420c9503d3b8474bc27189cc0b60216aa872b593fbc94d545ede6260507,999936 bytes,doc,False,b8386420c9503d3b8474bc27189cc0b60216aa872b593fbc94d545ede6260507,a831fce069ac135cb4978a447f9ed8359b360bf9b09b07163d71b13e50633850,2020-11-13 13:11:10.039828,False,True,True
8,internal_audit_quality_assessment_framework_word_file.doc,doc/36a0009a10dc7ef14c9a48c512f74969d50e3c6d8be8b1245e3a274b7c9a129d,390656 bytes,doc,False,36a0009a10dc7ef14c9a48c512f74969d50e3c6d8be8b1245e3a274b7c9a129d,23b5258370ad51b15e7b1d938ba91b20a3ab47deb47832965b86ffb15dec0ae8,2020-11-13 13:11:11.489533,False,True,True
9,Simple_dos_and_dont_s_for_the_carriage_of_protectively_marked_assets_out_of_the_office.doc,doc/9c162f663d8aa1a289cbcbe5650411f9f86bb188915d6198a05d1d873eb4f8a1,28672 bytes,doc,False,9c162f663d8aa1a289cbcbe5650411f9f86bb188915d6198a05d1d873eb4f8a1,40d42198d17b5230052eb1797b7b6077d005aa658b5ed34091187bcf1d01a8a3,2020-11-13 13:11:13.708357,False,True,True
10,ppc-application-form-1.doc,doc/d59eb7100b732d6cf61643ae61a0ec9cf9a93fd217419b2af1fdfca79378beed,359424 bytes,doc,False,d59eb7100b732d6cf61643ae61a0ec9cf9a93fd217419b2af1fdfca79378beed,bea4c84982861f9bcbcdf1839a76c40e20a4e950b0684188c40b185a92937d35,2020-11-13 13:11:15.000397,False,True,True
